portugues,Tupi_Referencia,Tupi_via_Guarani,Tupi_direto
Eu enviuvei,Xe remirekoe'õ,Aîmonheran,Xe remirekoe'õ
o que eu como costumeiramente,xe remi'utyba,xe remi'u rerekóbo,xe remi'utyba
Eu fui mentiroso dizendo isso,Xe remo'em aîpó gûi'îabo,Aîpynekûab aîpó gûi'îabo,Xe remo'em aîpó gûi'îabo
"Eu hei de mentir, dizendo isso",Xe remo'em ká é aîpó ûi'îabo,Anhe'ẽne rasẽ,Xe remo'em ká é aîpó ûi'îabo
meu estrado,Xe rendaba,xe apykaba,Xe rendaba
Eu brilho,Xe rendy,Aîberab,Xe rendy
Eu tenho barba ruiva,Xe rendybaáîub,Xe rendybaáoby,Xe rendybáaîub
Eu tenho barba ruiva,Xe rendybáaîub,Xe rendybaáoby,Xe rendybáaîub
minha barba branca,xe rendybaátinga,xe rendybaátinga,xe rendybaátinga
Eu tenho papo (ou papada),Xe rendybagûyaî,Xe papu'a,Xe rendybagûyaî
Eu espumei,Xe rendyîuî,Aîepubuîereb,Xe rendyîuî
Eu sou luzente,Xe rendypuk,Aîub,Xe rendypuk
Eu fico salivando,Xe rendyrendy,Aîmombe'u,Xe rendyrendy
Eu babo,Xe rendysyryk,Aîmombe'u,Xe rendysyryk
Eu tenho penduricalhos,Xe renembaî,Xe nhe'eng,Xe renembaî
Não me chames tu pelo nome diante dele senão me mata,Xe renõî umẽ îepé i xupé na xe îukáî,Xe renõî umẽ îepé i xupé koîpó xe îukáne,Xe renõî umẽ îepé i xupé na xe îukáî
"Não me chames pelo nome diante dele, senão me mata!","Xe renõî umẽ îepé i xupé, na xe îukáî!","Eîpotare'ym umẽ xe rera i xupé, na xe îukáî!","Xe renõî umẽ îepé i xupé, na xe îukáî!"
Eu desmaiei,Xe re'õ'ar,Aîkomemûã,Xe re'õ'ar
Meu preço é pouquinho,Xe repy mokonhõ'ĩ,Arupibĩ,Xe repy mokonhõ'ĩ
Eu tenho muito preço,Xe repyetá,Xe mba'eetá,Xe repyetá
Eu tenho um preço baixinho,Xe repymokonhõ'ĩ,Arerekóîeapûã,Xe repymokonhõ'ĩ
Não me enternecendo eu pelo que morreu para me resgatar,Xe repyramo omanõba'epûera ri xe akyre'ymamo,Na xe resapysóî a'e xe repyramo omanõba'epûera,Xe repyramo omanõba'epûera ri xe akyre'ymamo
Eu tenho nome,Xe rer,Xe rer,Xe rer
"Meu nome é ""Sapo Achatado""","Xe rera ""Kururupeba""","Xe rera ""Tupã potaba""","Xe rera ""Kururupeba"""
meu padrinho,xe rerokarûera,xe îara,xe rerokarûera
"Batizoume, verdadeiramente, o padre",Xe reroketé pa'i,"Aîepypekatueté, pa'i abaré",Xe reroketé pa'i
"Levoume alguém consigo, por acaso, para longe me levando do meu bom caminho?","Xe reropîápe abá ri, kûepe nhẽ xe rerasóbo xe rapékatu suí?",Serapûan serã nde rapixara amõ xe rerasóbo xe rapékatu suí?,"Xe reropîápe abá ri, kûepe nhẽ xe rerasóbo xe rapékatu suí?"
Faze uma igreja que tenha meu nome,Xe reryîara tupãoka eîmonhang,Eîmonhang Tupãoka xe rerype,Xe reryîara tupãoka eîmonhang
Bem com os meus olhos vi que tu as escondeste,Xe resá pupékatu asepîak nde i mimagûera,Nde nhe'engabŷápe a'é,Xe resá pupékatu asepîak nde i mimagûera
Eu chorei até ficar com olhos avermelhados,Xe resaapytãpytang,Aîpytápytybyrok,Xe resaapytãpytang
Eu sou travessa,Xe resaarũaíb,Aîkó i angaîpabamo,Xe resaarũaíb
Eu sou torto do olho,Xe resab,Aindé,Xe resab
Eis que teu filho me fez mudar de idéia,Xe resaekoabok ikó nde ra'yra,A'ereme nde ra'yra xe rekobîarõmo,Xe resaekoabok ikó nde ra'yra
Eu sou libertina,Xe resaeté,Okyko'ẽko'ẽ amana,Xe resaeté
Eu sou arisco,Xe resaeté,Atyabor,Xe resaeté
Eu tenho olheiras,Xe resagûyrumbyk,Xe pûapẽ,Xe resagûyrumbyk
Eu tive vertigem (ou eu estou enjoado),Xe resagûyryb,Aîepîakukar,Xe resagûyryb
Ele tem o rosto muito alegre,Xe resãî  Eu estou alegre Sobáesãîngatu,Xe resátingatu,Xe resãî Eu estou alegre Sobáesãîngatu
Eu tenho olhos zarcos,Xe resáîub,I morotĩ xe resá,Xe resáîub
Eu sou de bom semblante,Xe resakûanhyrõ,Aîkóngatu,Xe resakûanhyrõ
Eu sou malencarado,Xe resakûarasy,Anhagûãnhagûãî,Xe robasy
Eu tenho as cavidades dos olhos encovadas,Xe resakûárorẽ,Aîpytápûar,Xe resakûárorẽ
Eu estou olheirento,Xe resakûarumbyk,Aîepîakukar,Xe resakûarumbyk
Eu sou travesso,Xe resakûékûé,Aîkó i angaîpabamo,Xe resakûékûé
homem choramigas,Xe resangá  Eu sou chorão Abáesangá,abápukuîara,Xe resangá Eu sou chorão Abáesangá
Eu tenho catarata,Xe resaoby,Xe resaoby,Xe resaoby
Eu tenho olhos enevoados,Xe resáoby,I pytang xe resá,Xe resáoby
"Surpreendeume ele, vindo","Xe resapy'a ahẽ, oú",Aîeapyká,"Xe resapy'a ahẽ, oú"
Eu desmaio,Xe resapytumbyk,Aîkomemûãpe ká,Xe resapytumbyk
Eu estavame esquecendo mesmo,Xe resaraî é gûitekóbo,Aîepysyrõngatu,Xe resaraî é gûitekóbo
"Eu estava, mesmo, esquecendo, não que o quisesse omitir","Xe resaraî é gûitekóbo, n'aseîápotá ruã!","Anheté, xe pysyrõ îepé, na xe pe'aî xóne","Xe resaraî é gûitekóbo, n'aseîápotá ruã!"
"Eu estavame, mesmo, esquecendo e não querendo omitilo","Xe resaraî é gûitekóbo, n'aseîápotá ruã!","Ixé aé, xe pysyrõ îepé, n'aîpotari xe rapirõmo","Xe resaraî é gûitekóbo, n'aseîápotá ruã!"
Eu tinhame esquecido por causa da muita aflição,Xe resaraî tekotebẽeté suí!,Aîerekoaibok xe angaîpaba suí,Xe resaraî tekotebẽeté suí!
Eu sou esquecidiço,Xe resaraîpotar,Aîobîasab,Xe resaraîpotar
"Eu tenho propensão a esquecer, eu sou esquecidiço",Xe resaraîpotar,Na xe ma'enduar,Xe resaraîpotar
Mas eu me esqueci completamente,Xe resaraîtekatu,Xe resaraîtekatu,Xe resaraîtekatu
Eu tenho olhos claros,Xe resáting,Xe resá resapytumbyk,Xe resáting
Eu tenho olhos esbugalhados,Xe resáynhusu,Aîesápetek,Xe resáynhusu
Eu estou lacrimejando,Xe resa'ysa'y,Aîmoasy,Xe resa'ysa'y
Eu tenho lágrimas gotejantes,Xe resa'ytykyr,Aîase'o anhanga suí,Xe resa'ytykyr
Em mim confiam,Xe resé oîerobîá,Xe resé oîerobîá,Xe resé oîerobîá
"Em mim confiam, bem em mim apoiandose","Xe resé oîerobîá, xe resékatu oîekoka",Xe resé oîerobîá,"Xe resé oîerobîá, xe resékatu oîekoka"
"Fulano está muito atrás de mim (isto é, fica no meu encalço, a importunarme)",Xe resékatu ahẽ rekóû,Amõ xe momburûabo,Xe resékatu ahẽ rekóû
"Sobrame dinheiro, certamente",Xe resemõ îepé itaîuba,Itaîuba rembyrûera anhẽ,Xe resemõ îepé itaîuba
Abundarmeá futuramente toda a felicidade desejada,Xe resemõ irã mba'ekatupabẽ i potarypyra,Aîpytá xe suí opakatu xe remimborará,Xe resemõ irã mba'ekatupabẽ i potarypyra
Sobramme sauiás,Xe resemõ sauîá,Xe resé nde nheŷnhang,Xe resemõ saûîá
Sobramme sauiás,Xe resemõ saûîá,Xe resé nde nheŷnhang,Xe resemõ saûîá
Isso é o que é destinado a mim,Xe resendûara ebokûea,Aîpó xe rapixara,Xe resendûara ebokûea
"Isso é referente a mim, isso é o que me concerne",Xe resendûara ebokûea,Akó xe resendûara,Xe resendûara ebokûea
Assame o Lourenço tostado,Xe resy Lorẽka'ẽ,Emoîyb laurel,Xe resy Lorẽka'ẽ
"Assame o Lourenço tostado, embora eu seja um rei","Xe resy Lorẽka'ẽ, xe morubixaba biã","Xe îaramo nhẽ, Lorẽmbora moîarukari","Xe resy Lorẽka'ẽ, xe morubixaba biã"
Eu tenho muitos (parentes),Xe retá,Xe retá,Xe retá
minha antiga região,xe retãmbûera,xe retãmbûera,xe retãmbûera
"Eis que meu corpo não está disposto, amolecendo","Xe reté ã n'oîkoetéî, omembeka","Na xe reté ã n'i marani, i moîekuakupa","Xe reté ã n'oîkoetéî, omembeka"
"Eis que meu corpo não está disposto, amolecendo","Xe reté ã n'oîkoetéî, omembeka","Na xe reté ã n'i marani, i moîekuakupa","Xe reté ã n'oîkoetéî, omembeka"
Meu corpo treme (de medo),Xe retépiring,Xe retékyî,Xe retépiring
"Eu sou muito bochechudo, eu tenho bochechas grandes",Xe retobapegûasu,Aîeaîubĩ,Xe retobapegûasu
Eu sou um pouco bochechudo,Xe retobapépyryb,Aîababixûer,Xe retobapépyryb
Fezme arder as pernas,Xe retymãmoîosar,Aîeatyká,Xe retymãmoîosar
Eu tenho pernas tortas,Xe retymãnhemang,I 'aputu'uma,Xe retymãnhemang
Eu sou pequeno,Xe risi'ĩ,Iî aeté Ele é fino Xe aeté,Xe risi'ĩ
meu sobrinho,xe ri'yra,xe ri'yra,xe ri'yra
Eu estou amargo,Xe rob,Aîmonhyrõ,Xe 'ak
Meu rosto é envelhecido,Xe robá tuîba'e,Aîkó tuîba'e,Xe robá tuîba'e
"Eu estou de rosto amarelo, eu estou pálido",Xe robáîub,I pytubok xe robá,Xe robáîub
Na minha frente ele disse isso,Xe robaké aîpó i 'éû,Amba'e renondé aîpó i 'éû,Xe robaké aîpó i 'éû
Eu tenho o rosto curubento,Xe robákurub,Aîehobaob,Xe robákurub
Eu tenho o rosto muito curubento,Xe robákurukurub,I tybi xe robá,Xe robákurukurub
Eu tenho o rosto esburacado (com varíola),Xe robápupuk,Aîobok,Xe robápupuk
Eu estou arrasado,Xe robapyka'ẽ,Aka'ab,Xe robapyka'ẽ
"Eu tenho rosto muito vermelho, eu enrubesço",Xe robápyrãpyrang,I pytãngatu xe robá,Xe robápyrãpyrang
Eu tenho a mão parcialmente descoberta,Xe robáseb  Eu tenho o rosto parcialmente descoberto Xe póseb,Nde popûera!,Xe robáseb Eu tenho o rosto parcialmente descoberto Xe póseb
Eu sou malencarado,Xe robasy,Anhagûãnhagûãî,Xe robasy
Eu estou roxo furtacor,Xe robykanugûá,Aîpitupyrang,Xe robykanugûá
Eu sou pontudo,Xe robyr,Aîembo'e,Xe rapûá
Querendo revirar minha casa,Xe roka pobupotá,Xe roka potá,Xe roka pobupotá
Tenho a carne arrepiada,Xe ro'opiring,Iî aeté a'u,Xe ro'opiring
Eu tenho a carne trêmula,Xe ro'osysyî,I gûabo nhẽ xe remi'u,Xe ro'osysyî
Eu tenho a carne palpitante,Xe ro'otytyk,I 'apira a'u,Xe ro'otytyk
Será que me perdi?,Xe ropá serã?,Asóp'ixéne ri?,Xe ropá serã?
Ando perdido,Xe ropáropar,Aîmoîa'ok,Xe ropáropar
Eu cochilo,Xe ropebypebyk,Akambu,Xe ropebypebyk
Eu tenho terçol,Xe ropepirekó,Xe terço,Xe ropepirekó
Eu tenho o interior das pálpebras trêmulo,Xe ropépysysyî,Aîubĩ xe remindu'une,Xe ropépysysyî
"Eu sou o alegre Ibitirapé, do topo da montanha","Xe rory Ybytyrapé, ybytyrapûá suí","Ixé Ibitirapé moesãîa, ybytyra abiã","Xe rory Ybytyrapé, ybytyrapûá suí"
Eu estou feliz por causa de tua ida,Xe roryb nde só resé,Iîá osóbo,Xe roryb nde só resé
Eu estou feliz por tua ida,Xe roryb nde só resé,Iîá osóbo,Xe roryb nde só resé
Eu tenho sofrimento de sobra,Xe rosangesemõ,Xe aíbusu,Xe rosangesemõ
minha ausência,xe roŷpyre'yma,xe aîubykara,xe roŷpyre'yma
"meus prisioneiros (ie, aqueles que são inferiores a mim e que devem servirme)",xe rûaîa,xe kyre'ymbaba,xe rûaîa
Eu tenho o rabo cortado,Xe rûaîasyk,Aîeká xe gûapyka,Xe rûaîasyk
herança de meu pai,xe ruba mba'epûera,xe ruba ra'ysé,xe ruba mba'epûera
Há de ser o substituto de meu pai,Xe ruba rekobîara é re'ĩ,Aîkó xe ruba rekobîaramo serã,Xe ruba rekobîara é re'ĩ
Assim ajo conforme meu pai,Xe ruba rupi é emonã aîkó,Emonã xe ruba rerasóbo aîkó,Xe ruba rupi é emonã aîkó
Eu sou pecador como meu pai,Xe ruba rupi é xe angaîpabamo,Xe ruba rupi é xe angaîpabamo,Xe ruba rupi é xe angaîpabamo
Vais em busca de meu pai?,Xe ruba supépe eresó?,Eresópotápe xe ruba?,Xe ruba supépe eresó?
Meu pai os inimigos comeram,Xe ruba tobaîara îa'u,"Xe ruba, xe suí i aîuri'yma t'ere'u",Xe ruba tobaîara îa'u
o patrimônio dado a mim por meu pai,xe ruba xe mba'eme'engaba,xe ruba xe me'engaba,xe ruba xe mba'eme'engaba
"meu pai, o que me gerou (para não haver confusão com outros parentes que também eram chamados tuba)",xe ruba xe monhangara,"xe ruba, xe monhangara",xe ruba xe monhangara
Meu pai foi?,Xe rubape osó?,Osópe tuba?,Xe rubape osó?
meu paizinho,xe rubĩ ,xe rubĩ ,xe rubĩ 
"Ah, meu pai!",Xe rubĩ mã!,Xe rubĩ!,Xe rubĩ mã!
Eu estou menstruada,Xe rugûy,Aîgûaîbĩ,Xe rugûy
Eu tenho o sangue escorrido,Xe rugûysyryk,Aîmondeb,Xe rugûysyryk
Tu me escaldaste,Xe rũî îepé,Nde marãmotar xe ri,Xe rũî îepé
Eu sou preto,Xe run,Aindé,Xe run
Eu estou preto de fumaça,Xe run tatatinga suí,Aîpitupyrang,Xe run tatatinga suí
desde minha vinda,xe rura agûerabé,xe rura agûerabé,xe rura agûerabé
logo que vim,xe rura rupibé,xe rura agûerabé,xe rura rupibé
"Ao vir eu, encontrei o que guardara","Xe rureme, asobaîtĩ xe remierekopûera",Anhemonhang xe mba'e amõ gûeba resé,"Xe rureme, asobaîtĩ xe remierekopûera"
"Minha embarcação (isto é, a que me contém, não aquela que me pertence)",Xe ruru,Aîogûerekó,Xe ruru
Eu estou desinchado,Xe rurunhyng,Aîmombe'u,Xe rurunhyng
Eu estou enlameado,Xe ru'um,Ka'abo aîub,Xe ru'um
Suo,Xe ryaî,ebok6ra; ebokiié; eboili; ebo6ing; eboiliba'e; eboilinga; (variedades): a'e; aipó; akó; akiieiá; akiieiá; akiieiá; akiieiá etc,Xe ryaî
Eu sou barulhento,Xe ryapu,Asem,Xe ryapu
Eu fedo,Xe ryapûanusu,Aî'aî,Xe ryapûanusu
Eu sou trepador,Xe rybobõ,Ybytyrapu'a ixé,Xe rybobõ
Eu tenho diarréia,Xe rybykasy,Iî abaí xe 'anga,Xe rybykasy
"Meu irmão, perdoa tu a mim","Xe rybyt, nde nhyrõ xebo","Xe rybyt, xe poraûsubara","Xe rybyt, nde nhyrõ xebo"
"Meu irmão, perdoa tu a mim","Xe rybyt, nde nhyrõ xebo","Xe rybyt, xe poraûsubara","Xe rybyt, nde nhyrõ xebo"
Eu estou úmido,Xe ryby'y,Aîasekó,Xe ryby'y
Eu tenho diarréia,Xe rygeaíb,Iî abaí xe 'anga,Xe rybykasy
Eu tenho puxos,Xe rygeasypu'ãpu'am,Xe 'ekuakupab,Xe rygeasypu'ãpu'am
Eu estou muito úmido,Xe rygûasu,Aîybyyby'ab,Xe rygûasu
Eu sou ciumento,Xe rygûyrõbor,Aîmonhyrõ,Xe rygûyrõbor
Eu tenho bafio,Xe rygynõ,Xe 'y'u,Xe rygynõ
Eu me derreti,Xe ryku,Aîubĩ,Xe ryku
Eu seco,Xe rypab,Aîasekó,Xe rypab
Assim que eu vou,Xe só abé,Aîupabok,Xe só abé
"Tão logo indo eu, ele veio",Xe só abé turi,Aîupabok,Xe só abé turi
Como se eu fosse,Xe só îarameté,Ixé nhe'enga supé,Xe só îarameté
Como se eu fosse,Xe só îasûaramo n'aé,Ixé nhe'enga supé,Xe só îarameté
Como se eu fosse,Xe só serãmona'ẽ,Ixé nhe'enga supé,Xe só îarameté
Meu destino é a terra de Deus,Xe soaba Tupã retama,Tupã retama ixé remimotara,Xe soaba Tupã retama
"Deume pancada de ponta, somente (isto é, sem me furar)",Xe sok îõte,Aîkupyîurar,Xe sok îõte
o que toca a quando eu fui,xe soremendûara,xe só riré seró,xe soremendûara
De mim comendoas todas,Xe suí i gûabo pá,Aîmo'y'useî,Xe suí i gûabo pá
Não tendo nojo de mim,Xe suí oîegûarue'yma,Nde nhyrõtene xébo,Xe suí oîegûarue'yma
Eu sou inchado,Xe susu'a,Aîubĩ tenondé,Xe susu'a
Picarmeia o marigui,Xe su'umo marigûi,Moxy aî'abo,Xe su'umo marigûi
"Ó minha mãe! (Fig, Arte, 9) [Usavase também por quem respondia",Xe sy îu!,Xe sy!,Xe sy îu!
Eu estou liso,Xe sym,Aîubĩ tenondé,Xe sym
"Que seja minha mãe, de fato",Xe syramongatu t'oîkó,Aîkóeté,Xe syramongatu t'oîkó 
"Que seja minha mãe, de fato",Xe syramongatu t'oîkó ,Aîkóeté,Xe syramongatu t'oîkó 
a companheira de minha mãe,xe sy'yra,xe sy'yra,xe sy'yra
Eu sou o grande tamoio Aimbirê,Xe tamũîusu Aîmbiré,"Aîmbiré, ybyráeté, ixé",Xe tamũîusu Aîmbiré
"Eu sou o grande tamoio Aimbirê, uma sucuriju, um tauató","Xe tamuîusu Aîmbiré, sukuriîu, tagûató","Xe ambusu Aîmbiré, sukuriîu, tagûató","Xe tamuîusu Aîmbiré, sukuriîu, tagûató"
Eu sou terrível,Xe taŷgaíb,Xe taŷgaíb,Xe taŷgaíb
Eu estou muito desfigurado,Xe té xe té,Anhe'engatã,Xe té xe té
Eu tenho peçonha,Xe tegûam,Xe 'ak,Xe tegûam
"Eu estoume homiziando, eu estou vivendo fugido",Xe tekoaraibor gûitekóbo,"Aîomongetá tenhẽ, apûaîaî",Xe tekoaraibor gûitekóbo
Meu entendimento todo fiz desaparecer,Xe tekokuaba opá amokanhem,Opá xe mba'ekugûapara é,Xe tekokuaba opá amokanhem
Eu retomei o bom senso,Xe tekokuabar,Aîe'amaman,Xe tekokuabar
Eu tenho impigem,Xe titing,Xe îeîurupygûaî,Xe titing
Minha pele tem titinga,Xe tĩtiting  Meu nariz tem titinga Xe pytiting  Meus pés têm titinga Xe pititing,Xe pytygûyr,Xe tĩtiting Meu nariz tem titinga Xe pytiting Meus pés têm titinga Xe pititing
"Eu hei de bem apanharte, fazendote cair no meu mundéu","Xe t'oropysykatu, xe mundépe nde mbo'a","Aîpotákatu nde suí, xe retãme nde reîkébo","Xe t'oropysykatu, xe mundépe nde mbo'a"
"Eu hei de bem apanharte, na minha armadilha fazendote cair","Xe t'oropysykatu, xe mundépe nde mbo'a","Aîpysykatu nde suí, nde koty xe sópotá","Xe t'oropysykatu, xe mundépe nde mbo'a"
Eu sou o grande tupinambá,Xe tupinambagûasu,Ixé tupinambagûasu,Xe tupinambagûasu
Eu tenho cálculos renais,Xe typa'am,Itá arekó xe aseî,Xe typa'am
Eu arquejo,Xe ukûakûar,Aîepysó gûitupa,Xe ukûakûar
Eu tenho muitos bernes,Xe ur  Eu tenho berne Xe uxe ur,Arurusu,Xe ur Eu tenho berne Xe uxe ur
Eis que eu tenho sede,Xe 'useî ã,A'ekatu sepîaka,Xe 'useî ã
Tu me atormentas,Xe usũî îepé,Nde rasyrõ xe momburu,Xe usũî îepé
Eu tusso,Xe u'u,Aîubĩote,Xe u'u
Eu arquejo,Xe u'ukûar,Aîepysó gûitupa,Xe ukûakûar
Eu enfeio minh'alma,Xe xe 'anga aîmomoxy,Aîmoaob xe 'anga,Xe xe 'anga aîmomoxy
Eu tenho bafo fedorento,Xe ybĩîrem,Aîarusu,Xe ybĩîrem
Eu tenho baceira,Xe ybypiar,I mara'ara ixé,Xe ybypiar
Jazia ao lado de mim,Xe ybyri tuî,Eîori xe rekóû,Xe ybyri tuî
Eu estou poento,Xe yî,Aîepysó gûitupa,Xe yî
Eu sou velho,Xe ymûan,Ixé tuîba'e,Xe ymûan
Eu estou com a base com firmeza,Xe ypy ten,Aîpysykatã ahẽ mba'e resé,Xe ypy ten
Eu tenho a base fixa,Xe ypyten,Xe ypyten,Xe ypyten
Eu sou nadador (ou sei nadar),Xe 'ytab,Na xe aîur,Xe 'ytab
Fartame o peixe,Xe ytarõ pirá,Emondyky pirá ixébe,Xe ytarõ pirá
"Eu, o diabão assado","Xe, anhangusumixyra","Ixé, anhanga momburu",Xe anhangusumixyra
"Eu, o diabão assado, o que tem nome Guaixará, o que é afamado por aí","Xe, anhangusumixyra, Gûaîxará seryba'e, kûepe i moerapûanymbyra","Ixé, Anhanga ro'y, Gûaîxará seryba'e, a'epe ojekuaba'e","Xe, anhangusumixyra, Gûaîxará seryba'e, kûepe i moerapûanymbyra"
"Eu, Tatapitera, inflamo os antigos ódios","Xe, Tatapytera asapy nhemoŷrõmbûera","Ixé, Tatapytera, aropopó moropotaragûera","Xe, Tatapytera asapy nhemoŷrõmbûera"
"Eu, Tatapitera, assim como meu grande fogo, inflamo os antigos ódios","Xe, Tatapytera, xe tatagûasu îabé, asapy nhemoŷrõmbûera","Ixé, Tatapytera, xe tatagûasu îabé, amoingobépuku xe raûsuba","Xe, Tatapytera, xe tatagûasu îabé, asapy nhemoŷrõmbûera"
o que entra para junto de mim,xebe teîkeara,Xe posé oîkeba'epûera,xebe teîkeara
"E a mim é que faz vir hoje para vos empurrar, enxotandovos desta sua terra","Xete xe mboú kori pe moanhana, pe mondóbo ikó setama suí",Ixé aé kó 'ara pe mondóbo pe retama suí pe mondóbo,"Xete xe mboú kori pe moanhana, pe mondóbo ikó setama suí"
"Mas eu, tendo saudades de ti, querote muito bem","Xete, nde repîaka'upa, oroamotákatu","Ixéte, nde resé gûaîxará, asetobapépyryb","Xete, nde repîaka'upa, oroamotákatu"
"Mas eu, amando minh'alma, fico quieto em minha terra","Xete, xe 'anga raûsupa, aby'arĩ xe retãme","Xete, xe 'anga raûsupa nhẽ, aby'arĩ nhote xe retãme","Xete, xe 'anga raûsupa, aby'arĩ xe retãme"
"Eu, em vez disso, quero presas nas pessoas de alguns bêbados","Xete, xe rembiápotá sabeypora amõ resé","Ixéte, xe remimotarybo abá raûsupa","Xete, xe rembiápotá sabeypora amõ resé"
"Eu, em vez disso, quero presas em alguns bêbados","Xete, xe rembiápotá sabeypora amõ resé","Ixéte, mba'ee'ymba'e potá","Xete, xe rembiápotá sabeypora amõ resé"
água,y,ara,y
Atravessar a água elimina a sujeira dos pés,Y aé rasaba mby ky'a îaîmomemûã,Y aé rasaba i moîasukaba,Y aé rasaba mby ky'a îaîmomemûã
Água é o que não tem essa ilha,Y angaba'eamẽ ebokûé 'ypa'ũ,Y angaba'e kó 'ype sekó,Y angaba'eamẽ ebokûé 'ypa'ũ
água sem mistura,y anhẽ,y nonnyngere'yma,y anhẽ
A água transformou em vinho,Y anhẽ monhangi kaûĩnamo,Y anhẽ monhangi kaûĩnamo,Y anhẽ monhangi kaûĩnamo
Na superfície das águas os peixes estavam,Y ape'arybo pirá kûáî,Y ape'arybo pirá kûáî,Y ape'arybo pirá kûáî
A água benta seja o meio de viver de minha alma,Y i mongaraibypyra t'oîkó xe 'anga rekobesabamo,Y i mongaraibypyra t'oîkó xe 'anga rekobesabamo,Y i mongaraibypyra t'oîkó xe 'anga rekobesabamo
"passagem de água, rego para água",y kûapaba,yrapema,y kûapaba
Vou em busca de água,Y piaramo asó,Asó 'y gûabo,Y piaramo asó
Com água nos molham a cabeça,Y pupé asé 'apiramõû,Y pupé asé akanga i moîáno,Y pupé asé 'apiramõû
no fundo da água,y pype,paranãpyterybo,y pype
"Fui ao encontro do meio das águas (isto é, para o altomar)",Y pytera asopenhan,Atymombytá,Y pytera asopenhan
rego d'água,y rapé,y,y rapé
"costa (de mar, de rio)",y rembe'yba costas,ye'ekiiaba,y rembe'yba costas
lume das águas,y rendyîaba,tatá suí 'y,y rendyîaba
além do rio,y robaî,kamuri,y robaî
Nem mesmo água eu tenho,Y tiruã n'arekóî,Y tiruã n'arekóî,Y tiruã n'arekóî
rio,y; ty2; iy,y; ty2; iy,y; ty2; iy
braço de rio,yakã,y; ty2; iy,yakã
"rio acima, a montante",yanhangoty,yape'ara rupi,yanhangoty
"cabaçapescocinho (isto é, em forma de pescoço, com estreitamento entre duas partes mais largas, estreita no meio e grossa nas pontas)",yánhurĩ,iî apé koty,yánhurĩ
"à flor d'água, na superfície da água",yapé 'arybo,yapé 'arybo,yapé 'arybo
"à tona d'água, na superfície da água",yape'ara rupi,paranã ybyri,yape'ara rupi
cheiroso,yapüan,ta'angaba; iekuapaba; pora (mb) siri,yapüan
nascentes (de águas),yapyra,ybytinga,yapyra
cabeceiras de rio,yapyra,ye'ekiiaba; 'yekiiabusu,yapyra
"rio acima, a montante",yapyrakoty,yape'ara rupi,yanhangoty
passagem costumeira de rio,Yasapátyba,kamuri'y,Yasapátyba
rio direito,yatã,kamuri'y,yatã
cabo,yba,aka,yba
caule,yba,ybyrá,yba
guia,yba,posyia,yba
planta',yba,kambu,yba
fruta,ybá,ai ,ybá
fruto,ybá,ai ,ybá
Os cabos são achatados,Yba i peb,I pupukytĩba'e yba i apenhugûãnhugûanyba'e,Yba i peb
A força vital das frutas aqui está,Ybá seté kó sekóû,Kó 'ybá rekobé,Ybá seté kó sekóû
Os cabos são brancos,Yba ting,Yba îaîuba,Yba ting
o fruto que Deus proíbe,ybá Tupã remipysyrõ,a'e 'ybá Tupã 'éû i 'uû,ybá Tupã remipysyrõ
origem,yba; ypy; ypyrunga,"ypyrunga, ypyrungaba (v ypyrung) comer",yba; ypy; ypyrunga
imitando a queda das frutas maduras,ybá'apuba kuîa ra'anga,Aîkytykytyk mba'ekagûera,ybá'apuba kuîa ra'anga
melancia,ybae'e; anhumatiroba,aîpi 'y,ybae'e; anhumatiroba
céu,ybaka,ybaka,ybaka
